record_id,report_date,campaign_name,channel,device,impressions,clicks,spend,conversions,revenue,ctr_percentage,conversion_rate_percentage,roas,profit
70,2026-05-12,B2B Lead Generation,LinkedIn,Desktop,7632,168,690.23,15,2700.0,2.2,8.93,3.91,2009.77
71,2026-05-12,Email Retargeting,Email,Mobile,10377,1237,346.36,118,8104.24,11.92,9.54,23.4,7757.88
72,2026-05-12,Product Launch,YouTube,Tablet,21773,422,788.51,16,1501.44,1.94,3.79,1.9,712.93
73,2026-05-13,Summer Sale,Google Ads,Mobile,16890,778,1235.15,56,4280.64,4.61,7.2,3.47,3045.49
74,2026-05-13,Brand Awareness,Facebook,Tablet,17719,491,524.98,20,1386.0,2.77,4.07,2.64,861.02
75,2026-05-13,Back to School,Instagram,Desktop,21450,772,957.28,46,3450.0,3.6,5.96,3.6,2492.72
76,2026-05-13,B2B Lead Generation,LinkedIn,Mobile,7096,158,662.26,14,2545.2,2.23,8.86,3.84,1882.94
77,2026-05-13,Email Retargeting,Email,Tablet,5569,670,191.35,64,4439.04,12.03,9.55,23.2,4247.69
78,2026-05-13,Product Launch,YouTube,Desktop,25380,453,863.19,18,1705.68,1.78,3.97,1.98,842.49
79,2026-05-14,Summer Sale,Google Ads,Tablet,11588,539,873.18,40,3088.8,4.65,7.42,3.54,2215.62
80,2026-05-14,Brand Awareness,Facebook,Desktop,20470,573,625.03,24,1680.0,2.8,4.19,2.69,1054.97
81,2026-05-14,Back to School,Instagram,Mobile,20093,731,924.57,44,3333.0,3.64,6.02,3.6,2408.43
82,2026-05-14,B2B Lead Generation,LinkedIn,Tablet,4925,111,474.47,10,1836.0,2.25,9.01,3.87,1361.53
83,2026-05-14,Email Retargeting,Email,Desktop,8330,924,248.37,90,6303.6,11.09,9.74,25.38,6055.23
84,2026-05-14,Product Launch,YouTube,Mobile,30542,551,988.77,19,1817.92,1.8,3.45,1.84,829.15
85,2026-05-15,Summer Sale,Google Ads,Desktop,13485,634,1047.62,47,3666.0,4.7,7.41,3.5,2618.38
86,2026-05-15,Brand Awareness,Facebook,Mobile,24730,699,777.57,29,2050.3,2.83,4.15,2.64,1272.73
87,2026-05-15,Back to School,Instagram,Tablet,13900,510,607.1,31,2371.5,3.67,6.08,3.91,1764.4
88,2026-05-15,B2B Lead Generation,LinkedIn,Desktop,7344,152,611.88,14,2595.6,2.07,9.21,4.24,1983.72
89,2026-05-15,Email Retargeting,Email,Mobile,9996,1121,307.6,110,7779.2,11.21,9.81,25.29,7471.6
90,2026-05-15,Product Launch,YouTube,Tablet,20995,383,701.46,14,1223.6,1.82,3.66,1.74,522.14
91,2026-05-16,Summer Sale,Google Ads,Mobile,16240,771,1199.06,58,4569.24,4.75,7.52,3.81,3370.18
92,2026-05-16,Brand Awareness,Facebook,Tablet,17057,487,510.18,21,1499.4,2.86,4.31,2.94,989.22
93,2026-05-16,Back to School,Instagram,Desktop,20670,699,849.42,43,3321.75,3.38,6.15,3.91,2472.33
94,2026-05-16,B2B Lead Generation,LinkedIn,Mobile,8790,184,755.96,17,3182.4,2.09,9.24,4.21,2426.44
95,2026-05-16,Email Retargeting,Email,Tablet,6854,776,217.28,68,4392.8,11.32,8.76,20.22,4175.52
96,2026-05-16,Product Launch,YouTube,Desktop,24300,448,837.09,16,1413.12,1.84,3.57,1.69,576.03
97,2026-05-17,Summer Sale,Google Ads,Tablet,11171,536,850.95,41,3261.96,4.8,7.65,3.83,2411.01
98,2026-05-17,Brand Awareness,Facebook,Desktop,25300,666,712.09,28,2018.8,2.63,4.2,2.84,1306.71
99,2026-05-17,Back to School,Instagram,Mobile,19219,657,814.68,40,3120.0,3.42,6.09,3.83,2305.32
100,2026-05-17,B2B Lead Generation,LinkedIn,Tablet,4717,100,419.15,9,1539.0,2.12,9.0,3.67,1119.85
101,2026-05-17,Email Retargeting,Email,Desktop,7990,915,261.32,81,5287.68,11.45,8.85,20.23,5026.36
102,2026-05-17,Product Launch,YouTube,Mobile,29333,546,1040.4,20,1784.8,1.86,3.66,1.72,744.4
103,2026-05-18,Summer Sale,Google Ads,Desktop,12905,570,923.4,44,3534.96,4.42,7.72,3.83,2611.56
104,2026-05-18,Brand Awareness,Facebook,Mobile,23699,630,687.2,27,1965.6,2.66,4.29,2.86,1278.4
105,2026-05-18,Back to School,Instagram,Tablet,13338,461,583.07,29,2066.25,3.46,6.29,3.54,1483.18
106,2026-05-18,B2B Lead Generation,LinkedIn,Desktop,7056,151,645.45,13,2246.4,2.14,8.61,3.48,1600.95
107,2026-05-18,Email Retargeting,Email,Mobile,9615,1112,298.91,99,6530.04,11.57,8.9,21.85,6231.13
108,2026-05-18,Product Launch,YouTube,Tablet,20218,380,681.91,14,1262.24,1.88,3.68,1.85,580.33
109,2026-05-19,Summer Sale,Google Ads,Mobile,15590,696,1150.07,54,4380.48,4.46,7.76,3.81,3230.41
110,2026-05-19,Brand Awareness,Facebook,Tablet,16394,441,490.57,19,1263.5,2.69,4.31,2.58,772.93
111,2026-05-19,Back to School,Instagram,Desktop,19890,695,827.33,44,3168.0,3.49,6.33,3.83,2340.67
112,2026-05-19,B2B Lead Generation,LinkedIn,Mobile,8467,183,736.67,16,2793.6,2.16,8.74,3.79,2056.93
113,2026-05-19,Email Retargeting,Email,Tablet,6610,772,211.84,70,4664.8,11.68,9.07,22.02,4452.96
114,2026-05-19,Product Launch,YouTube,Desktop,29970,569,1042.12,21,1912.68,1.9,3.69,1.84,870.56
115,2026-05-20,Summer Sale,Google Ads,Tablet,10753,485,754.27,38,2815.8,4.51,7.84,3.73,2061.53
116,2026-05-20,Brand Awareness,Facebook,Desktop,24380,662,693.51,29,1948.8,2.72,4.38,2.81,1255.29
117,2026-05-20,Back to School,Instagram,Mobile,23806,840,1020.77,47,3419.25,3.53,5.6,3.35,2398.48
118,2026-05-20,B2B Lead Generation,LinkedIn,Tablet,5806,126,517.67,11,1940.4,2.17,8.73,3.75,1422.73
119,2026-05-20,Email Retargeting,Email,Desktop,7650,903,252.84,82,5520.24,11.8,9.08,21.83,5267.4
120,2026-05-20,Product Launch,YouTube,Mobile,28123,540,1008.99,20,1840.0,1.92,3.7,1.82,831.01
121,2026-05-21,Summer Sale,Google Ads,Desktop,15950,727,1154.19,57,4268.16,4.56,7.84,3.7,3113.97
122,2026-05-21,Brand Awareness,Facebook,Mobile,22669,622,665.04,28,1901.2,2.74,4.5,2.86,1236.16
123,2026-05-21,Back to School,Instagram,Tablet,12776,455,564.2,26,1911.0,3.56,5.71,3.39,1346.8
124,2026-05-21,B2B Lead Generation,LinkedIn,Desktop,6768,149,624.53,13,2316.6,2.2,8.72,3.71,1692.07
125,2026-05-21,Email Retargeting,Email,Mobile,9234,1101,314.45,101,6868.0,11.92,9.17,21.84,6553.55
126,2026-05-21,Product Launch,YouTube,Tablet,19440,377,718.37,14,1300.88,1.94,3.71,1.81,582.51
127,2026-05-22,Summer Sale,Google Ads,Mobile,14941,688,1114.56,55,4161.3,4.6,7.99,3.73,3046.74
128,2026-05-22,Brand Awareness,Facebook,Tablet,15732,436,475.59,17,1166.2,2.77,3.9,2.45,690.61
129,2026-05-22,Back to School,Instagram,Desktop,19110,688,870.18,39,2895.75,3.6,5.67,3.33,2025.57
130,2026-05-22,B2B Lead Generation,LinkedIn,Mobile,8145,181,773.68,16,2880.0,2.22,8.84,3.72,2106.32
131,2026-05-22,Email Retargeting,Email,Tablet,6365,766,205.9,71,4876.28,12.03,9.27,23.68,4670.38
132,2026-05-22,Product Launch,YouTube,Desktop,28890,516,925.96,20,1876.8,1.79,3.88,2.03,950.84
133,2026-05-23,Summer Sale,Google Ads,Tablet,10336,481,794.8,39,2981.16,4.65,8.11,3.75,2186.36
134,2026-05-23,Brand Awareness,Facebook,Desktop,23460,657,730.85,26,1801.8,2.8,3.96,2.47,1070.95
135,2026-05-23,Back to School,Instagram,Mobile,22932,834,992.79,48,3600.0,3.64,5.76,3.63,2607.21
136,2026-05-23,B2B Lead Generation,LinkedIn,Tablet,5599,126,507.21,11,1999.8,2.25,8.73,3.94,1492.59
137,2026-05-23,Email Retargeting,Email,Desktop,9435,1047,287.3,98,6797.28,11.1,9.36,23.66,6509.98
138,2026-05-23,Product Launch,YouTube,Mobile,26914,486,890.11,19,1800.44,1.81,3.91,2.02,910.33
139,2026-05-24,Summer Sale,Google Ads,Desktop,15370,722,1122.85,52,4015.44,4.7,7.2,3.58,2892.59
140,2026-05-24,Brand Awareness,Facebook,Mobile,28078,794,831.79,32,2240.0,2.83,4.03,2.69,1408.21
141,2026-05-24,Back to School,Instagram,Tablet,15725,577,701.17,34,2575.5,3.67,5.89,3.67,1874.33
142,2026-05-24,B2B Lead Generation,LinkedIn,Desktop,6480,134,550.54,12,2203.2,2.07,8.96,4.0,1652.66
143,2026-05-24,Email Retargeting,Email,Mobile,8854,993,278.04,94,6583.76,11.22,9.47,23.68,6305.72
144,2026-05-24,Product Launch,YouTube,Tablet,18662,340,635.29,13,1243.84,1.82,3.82,1.96,608.55
145,2026-05-25,Summer Sale,Google Ads,Mobile,14291,678,1076.39,49,3822.0,4.74,7.23,3.55,2745.61
146,2026-05-25,Brand Awareness,Facebook,Tablet,15070,430,459.76,18,1272.6,2.85,4.19,2.77,812.84
147,2026-05-25,Back to School,Instagram,Desktop,18330,620,768.8,37,2830.5,3.38,5.97,3.68,2061.7
148,2026-05-25,B2B Lead Generation,LinkedIn,Mobile,7822,163,683.21,15,2781.0,2.08,9.2,4.07,2097.79
149,2026-05-25,Email Retargeting,Email,Tablet,6120,693,197.92,66,4667.52,11.32,9.52,23.58,4469.6
150,2026-05-25,Product Launch,YouTube,Desktop,27810,513,977.52,20,1748.0,1.84,3.9,1.79,770.48
151,2026-05-26,Summer Sale,Google Ads,Tablet,9918,475,769.5,35,2757.3,4.79,7.37,3.58,1987.8
152,2026-05-26,Brand Awareness,Facebook,Desktop,22540,593,646.84,24,1713.6,2.63,4.05,2.65,1066.76
153,2026-05-26,Back to School,Instagram,Mobile,22058,754,953.66,45,3476.25,3.42,5.97,3.65,2522.59
154,2026-05-26,B2B Lead Generation,LinkedIn,Tablet,5391,114,487.29,10,1872.0,2.11,8.77,3.84,1384.71
155,2026-05-26,Email Retargeting,Email,Desktop,9095,1041,279.82,101,6524.6,11.45,9.7,23.32,6244.78
156,2026-05-26,Product Launch,YouTube,Mobile,33264,619,1110.8,22,1943.04,1.86,3.55,1.75,832.24
157,2026-05-27,Summer Sale,Google Ads,Desktop,14790,653,1079.02,48,3818.88,4.42,7.35,3.54,2739.86
158,2026-05-27,Brand Awareness,Facebook,Mobile,27048,719,799.82,30,2163.0,2.66,4.17,2.7,1363.18
159,2026-05-27,Back to School,Instagram,Tablet,15163,524,623.77,32,2496.0,3.46,6.11,4.0,1872.23
160,2026-05-27,B2B Lead Generation,LinkedIn,Desktop,7992,171,688.36,16,2736.0,2.14,9.36,3.97,2047.64
161,2026-05-27,Email Retargeting,Email,Mobile,8473,980,268.91,96,6266.88,11.57,9.8,23.3,5997.97
162,2026-05-27,Product Launch,YouTube,Tablet,17885,336,615.38,12,1070.88,1.88,3.57,1.74,455.5
163,2026-05-28,Summer Sale,Google Ads,Mobile,17702,790,1228.61,59,4740.06,4.46,7.47,3.86,3511.45
164,2026-05-28,Brand Awareness,Facebook,Tablet,18547,499,522.75,21,1528.8,2.69,4.21,2.92,1006.05
165,2026-05-28,Back to School,Instagram,Desktop,17550,613,744.92,37,2636.25,3.49,6.04,3.54,1891.33
166,2026-05-28,B2B Lead Generation,LinkedIn,Mobile,7500,162,665.58,15,2592.0,2.16,9.26,3.89,1926.42
167,2026-05-28,Email Retargeting,Email,Tablet,5875,686,192.08,60,3957.6,11.68,8.75,20.6,3765.52
168,2026-05-28,Product Launch,YouTube,Desktop,26730,508,949.2,18,1622.88,1.9,3.54,1.71,673.68
169,2026-05-29,Summer Sale,Google Ads,Tablet,9500,429,681.08,32,2595.84,4.52,7.46,3.81,1914.76
170,2026-05-29,Brand Awareness,Facebook,Desktop,21620,587,627.62,25,1662.5,2.72,4.26,2.65,1034.88
171,2026-05-29,Back to School,Instagram,Mobile,21185,747,926.28,46,3312.0,3.53,6.16,3.58,2385.72
172,2026-05-29,B2B Lead Generation,LinkedIn,Tablet,5184,113,473.64,11,1920.6,2.18,9.73,4.05,1446.96
173,2026-05-29,Email Retargeting,Email,Desktop,8755,1033,295.02,91,6064.24,11.8,8.81,20.56,5769.22
174,2026-05-29,Product Launch,YouTube,Mobile,32054,615,1171.88,22,2003.76,1.92,3.58,1.71,831.88
175,2026-05-30,Summer Sale,Google Ads,Desktop,14210,648,1049.76,50,3705.0,4.56,7.72,3.53,2655.24
176,2026-05-30,Brand Awareness,Facebook,Mobile,26018,714,778.83,31,2083.2,2.74,4.34,2.67,1304.37
177,2026-05-30,Back to School,Instagram,Tablet,14602,520,657.7,32,2328.0,3.56,6.15,3.54,1670.3
178,2026-05-30,B2B Lead Generation,LinkedIn,Desktop,7704,169,722.39,14,2469.6,2.19,8.28,3.42,1747.21
179,2026-05-30,Email Retargeting,Email,Mobile,10472,1248,335.46,111,7472.52,11.92,8.89,22.28,7137.06
180,2026-05-30,Product Launch,YouTube,Tablet,17107,332,595.77,12,1104.0,1.94,3.61,1.85,508.23
